frame_nmr,vehicle_id,vehicle_bbox,license_plate_bbox,license_plate_bbox_score
179,7,1033.4399741224165 705.8025142991772 1358.4415909295376 985.2121694125523,1153.646484375 876.5623168945312 1263.3131103515625 940.1982421875,0.5334905385971069
128,8,558.6794386062362 548.8646658701446 805.6318090712174 762.4235925243695,633.991455078125 660.7247314453125 726.2747802734375 725.2724609375,0.6397773027420044
129,8,557.4448331192166 550.6801396163153 805.0544339740721 764.8458004401332,632.9932170364092 662.9685956846993 725.5690618551002 727.6967404923349,0
130,8,556.210227632197 552.4956133624861 804.477058876927 767.268008355897,631.9949789946934 665.212459924086 724.863343436763 730.1210200471698,0
131,8,554.9756221451773 554.3110871086568 803.8996837797818 769.6902162716607,630.9967409529776 667.4563241634729 724.1576250184257 732.5452996020047,0
132,8,553.7410166581577 556.1265608548275 803.3223086826365 772.1124241874244,629.9985029112618 669.7001884028597 723.4519066000885 734.9695791568396,0
133,8,552.5064111711381 557.9420346009982 802.7449335854913 774.5346321031881,629.000264869546 671.9440526422464 722.7461881817512 737.3938587116745,0
134,8,551.2718056841185 559.757508347169 802.1675584883461 776.9568400189519,628.0020268278302 674.1879168816332 722.040469763414 739.8181382665094,0
135,8,550.0372001970987 561.5729820933398 801.5901833912009 779.3790479347156,627.0037887861143 676.4317811210201 721.3347513450766 742.2424178213444,0
136,8,548.8025947100791 563.3884558395105 801.0128082940556 781.8012558504793,626.0055507443985 678.6756453604069 720.6290329267393 744.6666973761793,0
137,8,547.5679892230595 565.2039295856812 800.4354331969105 784.223463766243,625.0073127026828 680.9195095997936 719.9233145084021 747.0909769310142,0
138,8,546.3333837360399 567.019403331852 799.8580580997652 786.6456716820068,624.009074660967 683.1633738391804 719.2175960900648 749.515256485849,0
139,8,545.0987782490203 568.8348770780227 799.28068300262 789.0678795977705,623.0108366192512 685.4072380785672 718.5118776717276 751.939536040684,0
140,8,543.8641727620006 570.6503508241934 798.7033079054747 791.4900875135341,622.0125985775354 687.651102317954 717.8061592533903 754.3638155955189,0
141,8,542.629567274981 572.4658245703641 798.1259328083296 793.9122954292978,621.0143605358196 689.8949665573408 717.1004408350531 756.7880951503538,0
142,8,541.3949617879614 574.281298316535 797.5485577111843 796.3345033450616,620.0161224941038 692.1388307967276 716.3947224167158 759.2123747051887,0
143,8,540.1603563009418 576.0967720627057 796.9711826140391 798.7567112608253,619.017884452388 694.3826950361143 715.6890039983786 761.6366542600235,0
144,8,538.9257508139221 577.9122458088764 796.393807516894 801.178919176589,618.0196464106722 696.6265592755012 714.9832855800413 764.0609338148585,0
145,8,537.6911453269025 579.7277195550471 795.8164324197487 803.6011270923527,617.0214083689564 698.870423514888 714.277567161704 766.4852133696934,0
146,8,536.4565398398829 581.5431933012179 795.2390573226035 806.0233350081165,616.0231703272406 701.1142877542748 713.5718487433668 768.9094929245283,0
147,8,535.2219343528633 583.3586670473886 794.6616822254582 808.4455429238802,615.0249322855248 703.3581519936615 712.8661303250295 771.3337724793632,0
