frame_nmr,vehicle_id,vehicle_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
90,3,812.7066247315751 680.1230821791842 1159.4978676168787 965.1237270819511,900.6285278320313 803.1981079101563 1063.225390625 865.1128784179688,0,D 1805 FP,0.999071717262268
91,3,810.9546081073598 680.169255480849 1160.6797509600985 967.7592374465521,903.1598217773437 804.9108837890625 1063.045576171875 866.8274633789063,0,D 1805 FP,0.999071717262268
92,3,809.2025914831446 680.2154287825136 1161.8616343033184 970.3947478111533,905.6911157226563 806.6236596679687 1062.86576171875 868.5420483398437,0,D 1805 FP,0.999071717262268
93,3,807.4505748589294 680.2616020841783 1163.043517646538 973.0302581757544,908.2224096679688 808.336435546875 1062.685947265625 870.2566333007812,0,D 1805 FP,0.999071717262268
94,3,805.6985582347141 680.307775385843 1164.2254009897579 975.6657685403555,910.7537036132812 810.0492114257812 1062.5061328125 871.9712182617187,0,D 1805 FP,0.999071717262268
95,3,803.9465416104989 680.3539486875077 1165.4072843329777 978.3012789049567,913.2849975585938 811.7619873046875 1062.326318359375 873.6858032226562,0,D 1805 FP,0.999071717262268
96,3,802.1945249862836 680.4001219891724 1166.5891676761976 980.9367892695578,915.8162915039062 813.4747631835937 1062.14650390625 875.4003881835938,0,D 1805 FP,0.999071717262268
97,3,800.4425083620683 680.4462952908372 1167.7710510194174 983.572299634159,918.3475854492187 815.1875390625 1061.966689453125 877.1149731445313,0,D 1805 FP,0.999071717262268
98,3,798.6904917378531 680.4924685925018 1168.952934362637 986.20780999876,920.8788793945313 816.9003149414062 1061.786875 878.8295581054688,0,D 1805 FP,0.999071717262268
99,3,796.9384751136379 680.5386418941665 1170.134817705857 988.8433203633612,923.4101733398437 818.6130908203126 1061.607060546875 880.5441430664063,0,D 1805 FP,0.999071717262268
100,3,795.1864584894226 680.5848151958312 1171.3167010490768 991.4788307279623,925.9414672851562 820.3258666992188 1061.42724609375 882.2587280273438,0.5003277659416199,D 1805 FP,0.999071717262268
101,3,793.3389743498008 681.3836274835456 1172.877133022999 992.5937779542048,925.761474609375 821.3102416992188 1059.407470703125 884.4450073242188,0,D 1805 FP,0.9991042613983154
102,3,791.4914902101788 682.1824397712601 1174.4375649969213 993.7087251804473,925.5814819335938 822.2946166992188 1057.3876953125 886.6312866210938,0.6514639854431152,D 1805 FP,0.9991042613983154
103,3,789.8749210369473 682.4274443553553 1176.1286800562743 996.4031010973274,925.145986703726 824.005117563101 1057.3112135667068 888.5644155649038,0,D 1805 FP,0.99837327003479
104,3,788.2583518637158 682.6724489394505 1177.8197951156271 999.0974770142075,924.7104914738582 825.7156184269832 1057.2347318209136 890.497544508714,0,D 1805 FP,0.99837327003479
105,3,786.6417826904844 682.9174535235456 1179.5109101749802 1001.7918529310875,924.2749962439904 827.4261192908654 1057.1582500751201 892.430673452524,0,D 1805 FP,0.99837327003479
106,3,785.025213517253 683.1624581076409 1181.202025234333 1004.4862288479676,923.8395010141226 829.1366201547476 1057.081768329327 894.3638023963341,0,D 1805 FP,0.99837327003479
107,3,783.4086443440215 683.4074626917361 1182.893140293686 1007.1806047648477,923.4040057842548 830.8471210186298 1057.0052865835337 896.2969313401443,0,D 1805 FP,0.99837327003479
108,3,781.79207517079 683.6524672758313 1184.5842553530388 1009.8749806817277,922.968510554387 832.557621882512 1056.9288048377405 898.2300602839543,0,D 1805 FP,0.99837327003479
109,3,780.1755059975586 683.8974718599264 1186.2753704123918 1012.5693565986078,922.5330153245193 834.2681227463943 1056.852323091947 900.1631892277644,0,D 1805 FP,0.99837327003479
110,3,778.5589368243271 684.1424764440217 1187.9664854717446 1015.2637325154878,922.0975200946515 835.9786236102765 1056.7758413461538 902.0963181715745,0,D 1805 FP,0.99837327003479
111,3,776.9423676510957 684.3874810281169 1189.6576005310976 1017.9581084323679,921.6620248647837 837.6891244741587 1056.6993596003606 904.0294471153846,0,D 1805 FP,0.99837327003479
112,3,775.3257984778642 684.6324856122121 1191.3487155904504 1020.652484349248,921.2265296349159 839.3996253380409 1056.6228778545674 905.9625760591947,0,D 1805 FP,0.99837327003479
113,3,773.7092293046328 684.8774901963072 1193.0398306498034 1023.346860266128,920.7910344050481 841.1101262019231 1056.546396108774 907.8957050030048,0,D 1805 FP,0.99837327003479
114,3,772.0926601314013 685.1224947804025 1194.7309457091562 1026.041236183008,920.3555391751803 842.8206270658053 1056.4699143629807 909.8288339468149,0,D 1805 FP,0.99837327003479
115,3,770.4760909581698 685.3674993644977 1196.4220607685093 1028.7356120998882,919.9200439453125 844.5311279296875 1056.3934326171875 911.761962890625,0.63841313123703,D 1805 FP,0.99837327003479
116,3,768.8355556921927 683.9352230227834 1197.8682550307155 1028.3801510166923,913.9727783203125 847.5800170898438 1053.885498046875 908.2227172851562,0.5370534658432007,D 1805 FP,0.9959208965301514
117,3,766.9109797755368 683.0353083761861 1199.0687363181376 1028.6624988042458,915.3894653320312 844.67431640625 1065.3670654296875 909.947021484375,0.6601525545120239,D 1805 FP,0.998169243335724
118,3,765.3153757514273 681.4250311528654 1200.6413322458382 1031.6990321437243,916.1346435546875 845.0132751464844 1062.6221923828125 911.1467590332031,0,FP,0.9953140020370485
119,3,763.7197717273177 679.8147539295446 1202.2139281735388 1034.7355654832024,916.8798217773438 845.3522338867188 1059.8773193359375 912.3464965820312,0.6650353670120239,FP,0.9953140020370485
120,3,761.9908600145346 680.5791612937745 1203.681018606737 1036.5195154628486,914.4589233398438 848.63671875 1061.102783203125 913.171875,0.5327034592628479,D 1805 FP,0.998844027519226
121,3,759.2492352135997 682.4835348413236 1204.7623241876158 1043.5653663009593,916.5023803710938 856.0506591796875 1055.529541015625 913.140380859375,0.7234165072441101,D 1805 FP,0.9971315264701844
122,3,757.3629302404778 682.0754012090159 1206.1962732737668 1045.9390414301242,915.3441975911459 857.9559936523438 1057.3326822916667 913.4417114257812,0,D 1805 FP,0.9919809103012084
123,3,755.476625267356 681.6672675767081 1207.6302223599175 1048.3127165592891,914.1860148111979 859.861328125 1059.1358235677083 913.7430419921875,0,D 1805 FP,0.9919809103012084
124,3,753.5903202942341 681.2591339444004 1209.0641714460685 1050.686391688454,913.02783203125 861.7666625976562 1060.93896484375 914.0443725585938,0.5446617007255554,D 1805 FP,0.9919809103012084
125,3,752.0603231453454 680.6016360929075 1210.6446472737275 1050.6809793513191,906.8908081054688 862.03857421875 1072.861572265625 922.349853515625,0.6836869716644287,D 1805 FP,0.9956555366516112
