frame_nmr,vehicle_id,vehicle_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
74,52.0,[1282.5130434801883 874.5669400080071 1470.0442378184255 1070.1357442259805],[1363.843505859375 943.8372802734375 1464.702392578125 1002.11572265625],0.7135906219482422,D 2162 ZUA,0.8972309827804565
75,72.0,[1237.3102488463808 830.9676419547374 1467.2276940568756 1079.6362000972408],[1368.60791015625 939.8003540039062 1460.482421875 997.5825805664062],0.6532338261604309,6274,0.9117419123649597
75,3.0,[838.9868740948037 679.4304826542137 1141.7696174685816 925.5910716129341],[862.6591186523438 777.5064697265625 1065.922607421875 839.3941040039062],0.548583447933197,FP,0.9904020428657532
76,72.0,[1255.3026209563232 839.3129491292952 1469.5108903605333 1078.821589736929],[1363.332275390625 932.2833251953125 1454.935546875 996.76904296875],0.6818953156471252,D 2162 ZU,0.9007527232170105
77,72.0,[1264.5680793252263 846.3416883155858 1466.6756873054678 1078.2948867047774],[1361.092529296875 926.6694946289062 1452.7576904296875 996.0836791992188],0.6761030554771423,D 2162 ZU,0.9352078437805176
78,26.0,[557.3046380564468 834.5091792267 714.6974358268507 1085.7409993043273],[576.6771850585938 905.8247680664062 657.0753173828125 971.4208374023438],0.7250922918319702,D 2695 MZ,0.9117128252983093
78,72.0,[1266.7989460316817 846.2482493229965 1462.083773692807 1076.40701822543],[1359.92236328125 923.679931640625 1453.2061767578125 988.6761474609375],0.5950918793678284,D 2162 ZUA,0.9073631167411804
79,72.0,[1271.5449344192903 846.514936988114 1459.3664555457358 1075.0972615696019],[1362.7833251953125 920.73193359375 1445.8740234375 984.2283325195312],0.814362645149231,D 2162 ZUA,0.8445958495140076
79,26.0,[558.6783427111872 840.4370622659669 714.3263007713468 1084.6836980683267],[571.7757568359375 904.7596435546875 653.8472900390625 970.585693359375],0.5107813477516174,D 2695 MZ,0.9956642985343933
80,26.0,[560.2312092716484 842.5929182054014 714.2733999753998 1082.075583531697],[577.2061767578125 904.2774047851562 657.067626953125 971.9141845703125],0.632045328617096,D 2695 MZ,0.9925861358642578
81,26.0,[560.8293784817839 843.5635431511657 714.0421702248822 1080.004539786449],[580.8018188476562 904.35205078125 657.2122802734375 967.845703125],0.6454768180847168,D 2695 MZ,0.9871816635131836
82,26.0,[561.8085859097775 844.4441483565552 712.5552358720972 1078.788597510512],[575.2164916992188 899.8597412109375 653.30859375 962.8375854492188],0.7105229496955872,D 2695 MZ,0.9856661558151245
83,72.0,[1251.5472060425097 828.1567713253945 1447.0592607321303 1075.5257703815473],[1358.8580322265625 912.1305541992188 1438.18505859375 971.3999633789062],0.5157169103622437,D 2162 ZUA,0.8934733271598816
84,72.0,[1253.546513343345 829.9586360220569 1446.5189405896786 1076.4136636764692],[1358.7939453125 911.9500122070312 1438.2305908203125 971.3486938476562],0.510383129119873,D 2162 ZUA,0.9836667776107788
85,26.0,[563.9269141580879 844.2109435480361 711.5132274447175 1076.4062580041298],[577.524169921875 900.2991943359375 656.7550048828125 963.7452392578125],0.6218224167823792,D 2695 MZ,0.9928597807884216
85,72.0,[1249.4467564639222 826.8623943834922 1443.6215993380706 1075.0962398582885],[1358.97509765625 911.1024780273438 1436.89599609375 975.4752197265625],0.601557731628418,D 2162 ZUA,0.9632294774055481
86,72.0,[1251.9268912156228 831.1214727980793 1443.740695468159 1075.6711687264678],[1350.6751708984375 902.8588256835938 1433.051513671875 962.9309692382812],0.5509189963340759,D 2162 ZUA,0.9298684000968933
86,26.0,[565.6416375325873 841.6117498425355 713.6434797072939 1074.8528348257692],[576.4600830078125 900.3360595703125 658.842529296875 963.403076171875],0.5160709619522095,D 2695 MZ,0.9537699818611145
